K_1	K_2	K_3	K_4	K_5	K_6	K_7	tot_K	S_1	S_2	S_3	S_4	S_5	S_6	S_7	prS_1	prS_2	prS_3	prS_4	prS_5	prS_6	prS_7	tot_S	D_1	D_2	D_3	D_4	D_5	D_6	D_7	Pi_1	Pi_2	Pi_3	Pi_4	Pi_5	Pi_6	Pi_7	
26	5	3	3	2	5	3	47	1018	204	122	103	42	207	135	427	1	1	1	1	6	2	1031	2.55869	-0.990814	0	0	0	-0.457544	0	437.458	85.2	82.3333	69.3333	42	93.4	91	
2	3	3	26	5	3	5	47	123	301	298	1038	457	268	881	0	1	1	28	0	0	0	1041	0	0	0	3.51872	-0.169317	0	0.296966	123	207	206	511.342	214.5	183.333	439.3	
3	3	5	3	26	2	5	47	132	90	221	116	1004	54	197	2	2	8	2	446	1	5	1026	0	0	-0.85443	0	2.27567	0	-0.87588	89	60.6667	94.2	78.6667	412.828	54	83.7	
26	3	3	3	2	5	5	47	1040	290	291	330	99	475	465	113	0	0	0	0	0	0	1041	3.35473	0	0	0	0	-0.184364	-0.325284	501.151	199.333	199.667	228.667	99	222.5	213.7	
3	2	5	5	3	3	26	47	110	44	172	719	120	113	1007	1	0	4	4	0	2	174	1020	0	0	-0.670286	-0.767056	0	0	1.94556	74	44	75.3	310.5	80.6667	76	392.277	
5	2	5	3	3	26	3	47	242	64	241	144	143	816	164	27	4	21	12	13	293	15	964	-0.536104	0	-0.829914	0	0	-1.76176	0	108	64	103.1	97.3333	97.3333	119.578	111	
5	3	26	3	3	2	5	47	323	247	1016	240	230	104	376	1	1	188	2	1	1	1	1036	-0.642351	0	2.40659	0	0	0	-0.587537	142	170	426.474	162.333	161	104	166.6	
5	3	3	2	26	5	3	47	105	75	73	12	986	93	58	3	0	0	1	644	3	2	1000	-0.905036	0	0	0	1.98221	-0.925637	0	44.4	50.3333	49	12	386.471	39.2	38.6667	
3	3	5	5	3	26	2	47	165	161	280	254	140	989	59	2	3	6	8	3	326	0	1026	0	0	-0.619181	-0.552167	0	-0.407227	0	113	109.667	123.5	113.1	94.6667	232.782	59	
3	5	26	3	5	2	3	47	64	105	644	72	122	24	53	12	37	406	23	34	8	12	788	0	-1.02571	-0.109695	0	-1.00836	0	0	43	43.6	164.129	48.3333	50.8	24	35.3333	
5	2	26	3	3	3	5	47	383	103	982	238	313	248	376	9	0	136	2	1	4	4	1030	-0.479574	0	-0.40844	0	0	0	-0.363189	172.3	103	231.055	162	215	167.667	171.9	
26	3	5	2	3	5	3	47	1040	304	460	124	307	443	266	106	0	0	0	0	0	0	1041	1.23719	0	-0.207672	0	0	-0.314099	0	356.849	210.667	214.8	124	211.667	203.9	185.333	
3	3	26	3	2	5	5	47	148	127	1012	147	47	212	197	2	1	398	0	0	1	2	1028	0	0	0.641842	0	0	-0.859096	-0.585533	100	85	307.766	100.667	47	90.3	87.3	
5	3	26	3	5	2	3	47	150	95	934	73	158	34	104	10	8	500	5	12	2	6	993	-0.867581	0	2.21852	0	-0.576696	0	0	63.8	63.6667	380.572	49	70.1	34	69.6667	
3	3	3	26	5	5	2	47	17	17	24	148	26	26	3	12	12	20	129	25	19	2	240	0	0	0	-2.06322	-0.883563	-1.24176	0	11.6667	11.3333	16	18.4892	11	10.4	3	
5	3	26	2	5	3	3	47	915	830	1022	72	987	97	90	2	0	6	0	0	0	0	1040	1.04659	0	-0.863881	0	1.90572	0	0	499.3	569.667	209.969	72	591.8	65	61.6667	
3	3	5	5	2	3	26	47	275	156	1032	833	135	164	1034	0	0	0	0	0	0	0	1041	0	0	3.54901	0.312915	0	0	0.00175376	189.667	106.333	725.2	416.2	135	112	271.086	
5	26	5	2	3	3	3	47	287	1039	1008	81	98	162	103	0	13	0	0	0	0	0	1041	-0.734916	0.533296	2.7058	0	0	0	0	124.5	308.585	655	81	66	110	70.3333	
26	2	3	3	5	5	3	47	876	19	29	34	96	895	61	44	0	1	3	11	56	1	963	-1.4478	0	0	0	-0.952983	2.32506	0	146.422	19	19.3333	23	40.3	560.2	41	
5	5	3	3	3	26	2	43	124	150	5	2	239	60	4	21	41	2	1	149	35	2	376	-1.59594	0.677137	0	0	0	-2.59111	0	36.8095	78.4	3.33333	1.33333	159.333	4.91005	4	
5	5	3	26	3	3	2	47	908	1000	182	1035	332	197	141	0	1	0	4	0	0	0	1041	2.26127	1.99187	0	0.471456	0	0	0	564.7	605	122	303.203	227.333	134.333	141	
2	5	3	26	5	3	3	47	24	811	43	981	925	27	769	0	15	1	19	7	1	2	1039	0	-0.936686	0	-0.97839	2.38924	0	0	24	341.6	28.6667	194.178	582.7	18.3333	521.667	
3	5	26	3	5	2	3	47	193	877	1025	200	1024	148	303	0	0	1	0	4	0	0	1040	0	0.325934	-0.109987	0	3.55088	0	0	131	438.9	261.222	135.333	719.7	148	210.667	
3	3	26	2	5	3	5	47	73	68	561	35	1024	103	814	0	1	2	0	80	0	7	1040	0	0	-2.32304	0	3.21008	0	-0.714803	48.6667	45.3333	61.4462	35	697.8	69.3333	354.2	
2	5	3	3	26	3	5	47	141	1002	840	266	1038	286	1031	0	0	0	0	0	0	0	1041	0	2.28433	0	0	1.48998	0	3.86744	141	624.6	597.333	182	373.357	197.333	745.1	
5	2	26	3	5	3	3	47	871	129	1033	150	975	298	194	2	0	2	0	0	0	0	1041	0.346105	0	0.395878	0	2.71952	0	0	437	129	297.502	101.667	634.4	207.667	133.333	
26	3	2	5	3	3	5	47	987	64	57	877	604	62	744	25	0	0	15	0	0	5	1034	-0.910379	0	0	1.74849	0	0	1.97596	199.766	43.3333	57	517.2	412.667	41.3333	449.4	
3	3	3	5	2	26	5	47	119	89	843	824	83	982	1026	0	0	0	0	0	2	3	1041	0	0	0	-0.226613	0	-1.16091	3.5042	79.6667	60.6667	587.667	383.8	83	182.631	718.1	
2	5	3	26	5	3	3	47	134	1034	175	1022	838	322	165	1	2	0	0	0	0	0	1041	0	4.28405	0	-0.395238	2.14769	0	0	134	774.3	119	241.354	515.2	220.333	111.667	
26	3	3	2	5	3	5	47	1000	117	134	50	995	95	968	5	0	0	0	4	0	0	1041	-1.27553	0	0	0	2.9932	0	2.75826	178.471	80	91	50	664.5	64.3333	632.2	
5	3	26	3	2	3	5	47	1001	805	931	63	45	67	925	3	1	7	1	1	1	3	1033	3.03608	0	-1.97345	0	0	0	2.45987	671.2	548	123.554	42	45	45	586.8	
3	3	2	5	5	26	3	47	138	795	93	991	984	1038	113	0	0	0	0	0	2	0	1041	0	0	0	1.67421	1.89598	-0.0533844	0	93.3333	552.333	93	579.8	589.4	268.385	75.3333	
2	3	5	26	5	3	3	47	145	869	935	1022	1022	186	245	0	0	0	0	0	0	0	1041	0	0	1.01229	-0.329261	3.54005	0	0	145	646.667	508.2	245.772	717.6	126.333	166.333	
26	5	3	5	3	3	2	47	1038	1010	121	865	251	156	115	5	1	0	0	0	0	0	1041	0.374439	2.9898	0	0.163937	0	0	0	297.483	674.3	81.3333	424.1	173	105.333	115	
5	26	3	3	2	3	5	47	864	889	240	140	102	123	1002	1	10	0	0	1	1	12	1040	-0.0704452	-1.47359	0	0	0	0	2.87752	410.9	147.095	165	94.6667	102	83	661.9	
5	26	3	5	2	3	3	47	1004	941	826	1023	126	214	206	0	1	0	0	0	0	0	1041	2.32169	-1.12824	0	3.44033	0	0	0	628.2	177.012	579	711.9	126	145.667	141.333	
5	3	3	5	2	3	26	47	1035	803	107	296	84	98	1020	5	0	0	0	0	0	1	1041	3.82295	0	0	-0.756694	0	0	-0.710002	745.1	552.333	73	128	84	65.6667	219.843	
2	5	5	3	3	26	3	47	127	1008	472	161	237	1019	319	0	3	1	0	0	4	0	1039	0	2.75006	-0.217918	0	0	-0.0419724	0	127	657.8	220.1	108.333	163.333	264.234	220	
5	5	3	2	3	26	3	47	823	822	181	92	159	996	101	7	6	0	0	0	20	1	1038	-0.202109	-0.373309	0	0	0	-1.26062	0	384.6	375.3	124.333	92	107	178.729	68	
5	3	2	3	3	5	26	47	987	137	89	144	817	965	1036	0	0	0	0	0	0	2	1041	1.80562	0	0	0	0	2.74272	0.799789	585.6	92.6667	89	97	569.667	629.3	325.785	
5	2	26	3	5	3	3	47	1015	147	1036	291	382	164	158	0	0	5	0	0	0	0	1041	3.11638	0	-0.014129	0	-0.277496	0	0	685.7	147	270.532	200.333	176.7	112	108.667	
3	3	26	5	3	2	5	47	234	132	931	988	218	93	855	0	0	4	8	0	0	1	1039	0	0	-1.17806	2.90085	0	0	0.147217	160.333	89	172.089	654.1	148	93	418.3	
5	3	5	2	3	26	3	47	390	164	851	114	263	1034	161	1	0	1	0	0	57	0	1041	-0.330585	0	0.0434365	0	0	0.00702172	0	179.1	111.667	410.8	114	179	271.443	110	
3	3	3	5	2	5	26	47	163	286	195	1001	130	990	1025	0	0	0	1	0	0	6	1041	0	0	0	2.19078	0	1.99588	-0.371889	111.333	196.333	132	618.1	130	599.2	243.631	
5	3	2	3	3	5	26	47	1020	59	65	56	106	981	1011	3	0	0	0	1	2	2	1038	3.19485	0	0	0	0	2.62201	-0.587262	694.1	39.6667	65	37.3333	71.3333	632.3	226.034	
5	3	5	3	3	2	26	46	103	57	138	89	58	73	937	6	5	11	5	3	5	571	980	-0.00614992	0	-0.563771	0	0	0	3.06926	49.4	38	50.9048	61.3333	39.3333	73	434.04	
2	3	3	5	26	5	3	47	58	91	64	140	908	128	66	4	7	5	15	518	7	8	962	0	0	0	-0.543943	3.2807	-0.834993	0	58	61.6667	42.6667	62.4	433.206	54.7	44.3333	
3	2	3	26	5	5	3	47	141	143	168	890	347	291	256	7	6	8	219	18	20	8	999	0	0	0	-1.10545	-0.5439	-0.195696	0	96.3333	143	114.667	168.738	154.7	136.1	176.667	
5	2	5	3	3	26	3	47	29	12	28	14	25	791	12	8	4	8	3	5	707	4	823	-0.92313	0	-1.2441	0	0	3.43086	0	12.2	12	11.2	9.33333	16.6667	385.243	8	
3	2	3	5	26	3	5	47	110	95	139	244	965	99	208	1	7	6	10	373	3	7	1011	0	0	0	-0.581246	3.23636	0	-0.0259765	74.3333	95	93	108.2	457.563	66.3333	99.5	
3	3	26	3	5	5	2	47	84	122	968	92	215	230	79	2	3	418	2	7	7	3	1010	0	0	3.03227	0	-0.33265	-0.366316	0	56.3333	82.6667	446.037	62.3333	98.7	105.1	79	
3	3	5	26	3	5	2	46	41	67	116	549	45	134	54	11	22	37	347	9	38	14	720	0	0	0.16668	-1.00634	0	-0.736252	0	27.3333	44.6667	56.9	105.079	30.3333	58.1	54	
3	5	5	3	3	26	2	47	34	122	125	82	45	904	35	1	14	8	8	4	591	2	952	0	-0.644519	-1.01474	0	0	3.03449	0	23.3333	53.6	52	54.6667	30.3333	416.711	35	
3	5	3	3	26	5	2	46	128	217	71	92	931	186	84	11	11	4	7	425	7	4	991	0	-0.568367	0	0	3.18604	-0.929189	0	86	96.4	48	61.6667	432.146	78.4	84	
3	3	2	5	26	5	3	47	165	119	97	237	978	242	103	3	2	3	2	382	6	2	1015	0	0	0	-0.855953	3.10861	-0.483545	0	113	80	97	101	455.532	108.8	69	
5	5	26	3	3	2	3	46	15	19	481	10	5	5	5	6	11	455	4	3	2	3	511	-0.812348	-1.22992	3.41065	0	0	0	0	6.4	7.6	230.569	6.66667	3.33333	5	3.33333	
3	5	3	26	3	2	5	47	39	87	25	763	51	29	69	8	16	4	574	10	11	10	827	0	-0.828976	0	2.73992	0	0	-0.713643	26	37.2	16.6667	337.052	34	29	30	
3	3	26	2	3	5	5	45	56	96	909	52	58	142	165	8	6	520	5	4	13	20	973	0	0	3.46718	0	0	-0.978784	-0.519619	37.6667	64.3333	432.929	52	39.6667	59.4	73.8	
5	3	3	5	2	26	3	47	155	61	58	160	74	927	90	13	3	5	16	4	489	8	986	0	0	0	-0.962429	0	3.3222	0	74.4	41.3333	39	67.1	74	444.782	61.3333	
26	5	5	3	3	3	2	47	133	31	29	10	19	15	13	118	25	22	9	16	11	7	228	-2.25259	-0.94535	-0.279086	0	0	0	0	14.9046	13	13.4	6.66667	12.6667	10	13	
3	26	2	3	5	3	5	47	337	1037	195	241	446	196	892	1	34	0	0	0	0	1	1041	0	4.39629	0	0	-0.120655	0	0.288305	232	570.48	195	165.333	210.7	132.667	444.3	
2	5	3	3	3	26	5	43	4	12	5	5	3	498	16	3	3	2	4	1	478	6	519	0	-0.45202	0	0	0	3.49629	-1.22187	4	5.4	3.33333	3.33333	2	235.571	6.4	
26	3	3	5	5	2	3	46	861	18	22	64	65	27	43	675	0	3	7	11	6	5	896	3.50502	0	0	-1.01519	-0.922088	0	0	417.558	12	14.6667	26.6	27.4	27	28.6667	
3	5	2	26	5	3	3	47	199	421	194	1020	386	197	312	0	2	2	159	1	1	1	1039	0	-0.28284	0	2.80571	-0.275451	0	0	135.667	194.6	194	454.828	178.6	133.333	218.667	
3	26	2	3	3	5	5	47	157	1018	178	203	261	402	406	0	167	1	0	3	3	3	1039	0	3.45034	0	0	0	0.0609792	-0.171729	108	496.938	178	137	178.333	194.5	190.5	
3	5	3	5	26	3	2	46	42	108	52	90	878	44	51	2	7	5	11	597	3	9	923	0	-0.695248	-1.2584	-0.773436	2.93342	0	0	28	47.1	20.8	38.8	398.923	29.3333	51	
5	2	3	26	5	3	3	47	70	34	44	843	74	29	31	11	5	8	648	15	8	4	902	-0.856888	0	0	1.97725	-0.98602	0	0	29.8	34	29.6667	330.194	30.9	19.3333	20.6667	
3	3	5	2	26	3	5	47	146	104	245	114	971	100	249	4	2	10	3	354	2	7	1017	0	0	-0.610031	0	3.26912	0	-0.729252	98.3333	70.3333	108.2	114	462.489	67.3333	108.1	
5	5	3	3	26	2	3	47	321	352	152	142	1009	160	240	4	3	1	1	240	1	1	1035	-0.0584882	-0.337266	0	0	3.20468	0	0	152.9	161.5	102.667	95.3333	476.308	160	164.333	
2	5	3	3	3	5	26	40	5	10	2	3	7	12	103	5	10	2	3	5	12	101	140	0	-1.19267	-0.972558	0	0	-0.954263	1.40344	5	4	0.8	2	5	5	33.1672	
3	2	5	3	3	5	26	47	289	195	422	283	172	393	1025	1	0	1	1	2	0	137	1039	0	0	-0.526619	0	0	-0.0623731	3.62074	198.667	195	188.6	197	117.667	187.1	511.797	
3	26	3	5	5	3	2	47	12	811	15	50	41	24	20	1	696	2	12	8	6	5	848	0	3.5714	0	-0.817517	-0.642226	0	0	8	402.443	10	21.4	18	16	20	
3	2	5	3	5	26	3	47	219	200	428	303	419	1018	172	0	1	3	2	3	148	0	1037	0	0	-0.250698	0	0.230998	3.43207	0	149.667	200	198.7	207.333	207.2	495.72	116.667	
5	3	5	3	26	3	2	47	408	185	337	267	1015	204	139	2	1	2	1	206	1	2	1034	-0.368307	0	0.105768	0	3.35011	0	0	186.4	124.667	164	182.667	488.809	139	139	
2	26	5	3	3	3	5	47	68	927	152	55	118	86	168	3	489	11	5	2	6	8	982	0	2.70499	-0.977343	0	0	0	-0.740996	68	407.28	63.6	38	79.3333	58	72.8	
26	3	5	5	3	2	3	47	906	83	109	798	42	60	60	141	2	1	65	3	1	3	1014	0.380827	0	-0.860413	-0.771448	0	0	0	260.04	55.3333	46.4	344.4	28	60	40.3333	
5	5	26	3	3	3	2	47	156	266	865	72	110	67	76	11	25	382	7	13	5	3	948	-1.09689	-0.823869	0.948536	0	0	0	0	64.1	113.9	280.468	48	74	44.6667	76	
3	26	5	3	2	3	5	47	140	1022	990	95	103	95	237	0	25	9	0	0	0	0	1039	0	4.18414	1.62407	0	0	0	-0.849245	94.3333	548.031	576.1	65.6667	103	64.3333	101.1	
3	5	26	2	3	5	3	47	55	120	887	52	79	819	49	0	6	125	2	2	71	1	1009	0	-1.03035	1.98621	0	0	-0.866071	0	36.6667	49.8	347.932	52	53	348.6	32.6667	
3	3	5	26	5	2	3	47	10	24	36	535	601	18	448	0	5	13	43	210	5	3	802	0	0	-1.16405	-0.240412	-1.09398	0	0	6.66667	16	14.6	131.754	247.2	18	300.667	
2	3	5	3	3	5	26	47	80	85	976	71	117	831	1019	0	0	13	1	0	2	4	1039	0	0	1.61665	0	0	1.94259	3.93273	80	56.6667	567.5	47.3333	79	500.2	529.637	
3	3	2	3	5	26	5	47	66	49	45	34	803	896	110	1	1	1	1	83	151	4	1013	0	0	0	0	-0.915454	1.44005	-0.993788	44	32.6667	45	22.6667	339.3	319.382	45.9	
26	3	5	5	3	3	2	47	917	65	137	1022	770	58	71	6	0	2	86	0	1	0	1036	1.40544	0	-0.991162	3.37165	0	0	0	324.782	43.3333	57.2	706.8	518.667	38.6667	71	
26	2	5	5	3	3	3	47	912	14	970	57	24	797	18	7	1	85	3	0	0	1	1018	3.00365	0	0.961005	-1.20463	0	0	0	418.551	14	524.1	23	16	533.333	12	
3	3	3	2	5	5	26	47	77	44	28	67	821	129	916	1	2	0	2	75	2	139	1024	0	0	0	0	-0.781681	-0.826097	0.28809	51.6667	29.3333	19	67	353.8	55.2	257.342	
5	3	2	26	5	3	3	47	99	40	30	950	902	22	28	6	1	2	53	12	2	1	978	-1.09062	0	0	3.77729	1.62411	0	0	40.7	26.6667	30	484.138	524.9	14.6667	18.6667	
3	2	3	5	3	26	5	47	66	70	99	982	70	924	169	0	0	0	59	2	30	0	1037	0	0	0	1.47242	0	3.39278	-1.0636	44	70	67	562.1	46.6667	447.618	69.8	
5	26	3	5	2	3	3	47	550	892	773	146	60	54	59	53	44	3	10	3	5	2	997	-0.758638	1.88608	0	-1.00862	0	0	0	237.8	344.037	527	60.8	60	37	39.6667	
2	3	26	3	3	5	5	47	5	756	772	5	10	26	823	1	0	14	1	1	6	106	891	0	0	0.922022	0	0	-1.00296	-0.0472361	5	506	248.988	3.33333	6.66667	10.8	392.6	
5	3	3	2	26	3	5	47	157	67	775	75	931	67	877	0	2	2	1	20	1	55	1024	-0.916027	0	0	0	0.910813	0	1.83388	66.3	45	525.333	75	299.554	44.6667	521.9	
2	5	5	3	3	26	3	47	135	298	855	189	119	988	110	0	4	17	0	1	72	0	1039	0	-0.658742	-0.156535	0	0	2.04306	0	135	130.7	402	128	80.3333	391.194	74.6667	
5	3	2	5	3	26	3	47	123	53	63	798	45	921	88	3	0	4	55	1	149	1	1021	-1.12652	0	0	-0.803392	0	1.46747	0	50.3	35.6667	63	342.8	30	329.942	59	
2	3	5	26	3	5	3	47	27	41	74	980	25	995	22	1	0	1	21	0	29	0	1021	0	0	-1.11407	4.02979	0	2.5624	0	27	27.6667	30.3	515.625	16.6667	637.6	14.6667	
5	3	3	26	5	2	3	47	970	125	800	991	308	121	117	18	1	0	4	0	1	0	1040	1.95979	0	0	1.25056	-0.704553	0	0	584.9	85.3333	554	340.914	134.2	121	80.3333	
3	2	3	5	5	3	26	47	111	132	121	266	829	161	972	4	1	1	4	24	3	89	1034	0	0	0	-0.668422	-0.277139	0	3.16659	75	132	82.3333	116.5	383.5	109.333	456.434	
5	3	3	2	3	26	5	47	871	135	232	149	134	1003	313	17	0	1	0	0	61	0	1040	-0.147808	0	0	0	0	2.16582	-0.647577	410	91.6667	158.333	149	90.6667	405.197	137.5	
3	3	5	3	2	5	26	47	200	135	335	141	167	771	994	1	0	1	2	1	6	87	1035	0	0	-0.63649	0	0	-0.0801744	2.21625	137.333	91.6667	147.4	95.3333	167	366.2	404.849	
2	5	3	26	5	3	3	47	75	219	76	998	184	79	119	3	7	0	456	6	4	0	1024	0	-0.719958	0	3.3174	-0.925437	0	0	75	95.2	51	478.492	77.6	53.3333	80.6667	
3	26	3	5	2	5	3	47	40	904	42	978	58	149	798	0	5	0	91	3	1	0	1037	0	-1.288	0	1.43966	0	-1.06722	0	27	160.578	28	557.8	58	61.5	543.333	
3	5	5	26	2	3	3	47	18	669	42	721	16	16	669	4	10	13	54	6	6	9	771	0	-1.09815	-1.14238	0.067689	0	0	0	12	275	17.1	192.145	16	10.6667	448.333	
2	5	5	26	3	3	3	47	72	979	170	731	104	84	67	2	192	2	27	3	0	0	1029	0	1.6436	-0.840668	-0.62237	0	0	0	72	570.9	72.6	161.723	70.6667	56	45	
3	5	3	5	2	3	26	47	60	144	87	804	54	65	909	0	7	1	63	0	2	144	1028	0	-0.982888	0	2.01689	0	0	0.900144	40.3333	60.2	58.6667	487.7	54	43.3333	291.843	
5	3	3	3	5	2	26	47	299	179	127	130	815	128	974	2	1	0	0	27	1	77	1038	-0.602275	0	0	0	-0.299098	0	1.34338	132.2	121.667	84.6667	87.3333	375.9	128	340.994	
26	3	5	3	5	3	2	47	1029	95	980	120	255	177	128	29	0	4	0	0	0	0	1041	4.39841	0	1.74957	0	-0.760781	0	0	566.228	64.3333	578	81	110.2	119.333	128	
5	3	2	5	26	3	3	47	806	72	90	199	936	82	140	42	1	3	6	107	3	0	1028	-0.513547	0	0	-0.919806	0.928889	0	0	360.9	48	90	84	302.271	55.3333	94	
5	3	5	3	2	3	26	47	406	173	338	158	157	226	1021	2	2	3	0	0	0	200	1035	-0.39129	0	-0.336141	0	0	0	3.04372	184.9	118	155.1	106	157	154.667	471.197	
3	3	2	5	26	5	3	47	42	92	47	136	842	123	51	2	9	6	15	500	17	3	901	0	0	0	-0.989081	3.04571	-0.881628	0	28	62	47	56.8	388.785	52.2	34.3333	
5	26	3	3	3	5	2	47	279	998	133	132	170	282	126	4	289	1	3	3	6	0	1031	-0.662441	2.85346	0	0	0	-0.725352	0	122.3	448.151	89.6667	89.6667	115	122.5	126	
26	3	3	2	5	5	3	47	1001	270	187	178	378	368	198	173	1	1	3	5	7	1	1033	2.64598	0	0	0	-0.338534	-0.0622773	0	435.886	186.333	126.667	178	173.4	175.2	134	
2	26	5	3	5	3	3	47	185	1023	395	196	394	183	266	0	151	2	0	1	1	0	1037	0	3.11942	-0.523865	0	-0.461361	0	0	185	477.194	176.6	132.667	177.7	124.667	182.667	
26	3	2	3	5	5	3	47	819	46	55	46	114	129	66	537	6	7	8	16	13	9	901	2.61242	0	0	0	-0.850712	-0.67858	0	354.911	30.6667	55	31	48.6	56.4	44.6667	
5	3	3	3	26	5	2	47	26	10	10	12	487	22	16	10	5	5	5	441	12	10	535	-1.24176	0	0	0	2.69964	-1.23588	0	10.4	6.66667	6.66667	8	214.003	8.8	16	
3	5	2	3	3	5	26	47	88	149	68	68	108	193	941	9	5	5	3	7	14	467	997	0	-0.694441	0	0	0	-0.974637	2.78711	59.6667	65	68	45.3333	74	80.8	418.489	
3	3	2	5	5	26	3	47	14	20	14	46	57	462	34	5	4	10	25	28	392	14	559	0	0	0	-0.914834	-1.06648	1.28538	0	9.33333	13.3333	14	19.4	23.5	160.098	22.6667	
26	2	5	3	5	3	3	47	974	40	108	73	108	38	53	635	1	4	2	6	4	3	994	3.91452	0	-0.871261	0	-1.00327	0	0	505.114	40	45.9	49	45	25.6667	35.6667	
26	3	5	5	2	3	3	47	1016	182	359	369	168	166	251	188	0	1	1	2	1	1	1036	3.00749	0	-0.56388	-0.251023	0	0	0	466.48	123.667	159.6	171.3	168	113.667	172.667	
26	3	3	5	3	5	2	47	1023	256	194	371	175	404	153	169	1	1	2	0	3	0	1040	3.16675	0	0	-0.299436	0	-0.438141	0	480.366	176.333	132.333	171.1	119	182.8	153	
26	3	5	3	3	5	2	47	662	93	124	58	48	130	63	403	19	35	12	10	28	13	814	0.257872	0	-1.06379	0	0	-1.07352	0	184.683	63.3333	51.2	39.3333	32	53.6	63	
3	26	5	2	5	3	3	47	131	930	183	77	193	104	69	1	424	7	2	16	9	4	983	0	3.08984	-0.819373	0	-0.521892	0	0	87.3333	432.055	78.4	77	86.3	69.6667	46.3333	
5	3	26	2	3	3	5	47	355	221	967	152	143	144	354	7	4	206	1	4	5	6	1022	-0.475184	0	1.96576	0	0	0	-0.356044	159.8	152	377.988	152	97	98.3333	162	
2	5	3	3	3	5	26	47	150	387	195	169	261	390	1017	0	2	2	1	1	2	181	1033	0	-0.265692	0	0	0	-0.142845	3.49113	150	179.3	131.333	116.333	179.667	183.7	499.169	
2	5	3	5	26	3	3	47	80	144	74	140	598	81	62	22	36	14	45	319	16	13	787	0	-0.96085	0	-0.849911	-1.79371	0	0	80	60.4	49.6667	59.7	86.3015	54	41.6667	
5	3	3	26	2	5	3	47	394	197	262	1033	180	374	165	0	0	1	171	1	1	0	1041	-0.5058	0	0	4.59627	0	-0.349807	0	176.6	133	177.667	581.818	180	171.3	111.333	
5	2	3	26	5	3	3	47	157	63	88	964	118	61	60	7	3	3	545	2	3	3	992	-0.885695	0	0	2.57278	-1.02622	0	0	66.6	63	59	415.166	49	41	40.3333	
2	3	5	5	3	26	3	47	169	153	328	308	251	1011	146	1	0	4	3	1	232	1	1036	0	0	-0.438537	-0.534097	0	3.21153	0	169	103.333	148.4	137.5	172.333	477.705	101	
5	2	3	26	3	3	5	47	262	112	107	777	111	143	257	42	13	4	264	10	16	27	949	-0.750222	0	0	-1.73647	0	0	-0.820465	113.4	112	72	115.138	74.6667	96.3333	110.1	
3	5	2	5	3	3	26	47	194	398	199	413	187	283	1010	1	2	1	5	0	3	138	1037	0	-0.285558	0	-0.371565	0	0	2.56674	132.667	183.9	199	188.6	127.667	194	434.557	
3	5	3	2	3	26	5	47	95	209	101	83	146	960	222	4	11	8	3	11	393	10	1020	0	-0.875947	0	0	0	2.98115	-0.655845	63.6667	88.8	69.3333	83	99	439.138	97.4	
5	2	26	3	3	5	3	47	269	107	985	112	123	275	158	7	2	329	5	2	5	7	1026	-0.4446	0	3.05806	0	0	-0.705596	0	121.6	107	455.526	75.3333	83.3333	119.8	107	
5	3	3	5	26	3	2	47	352	215	188	368	1014	152	155	2	1	1	4	193	1	2	1038	-0.477417	0	0	-0.412587	3.42032	0	0	158.4	148.333	127.333	167.1	492.994	102.667	155	
3	5	26	3	2	3	5	47	30	58	619	33	30	46	62	9	19	473	13	4	15	16	703	0	-0.907095	2.39481	0	0	0	-0.905175	20	24.5	259.505	22	30	30.6667	26.2	
3	3	5	2	3	5	26	47	76	40	114	46	47	90	898	8	5	7	7	5	9	595	948	0	0	-1.07312	0	0	-1.00195	3.41821	51	26.6667	47	46	31.6667	37.5	436.535	
26	5	2	3	3	5	3	47	1008	396	172	284	208	405	128	158	3	0	3	0	4	3	1032	1.55733	-0.397134	0	0	0	-0.29085	0	367.022	180.2	172	197	142.667	187	85.3333	
2	26	5	3	3	5	3	47	48	786	116	45	44	129	74	10	509	24	8	9	22	14	888	0	1.47974	-1.02194	0	0	-1.07196	0	48	282.246	48.2	30.3333	29.3333	53.2	49.6667	
2	3	3	26	5	3	5	47	18	20	24	325	64	40	64	9	9	14	257	39	30	37	472	0	0	0	-1.29398	-1.03983	0	-1.01519	18	13.3333	16	57.4677	26.5	26.6667	26.6	
5	5	3	3	26	3	2	47	131	162	64	68	1030	104	24	2	3	0	0	621	0	0	1036	0.171912	-0.966279	0	0	1.78493	0	0	64.3	67.9	42.6667	45.3333	390.388	70.6667	24	
26	3	3	5	3	2	5	47	1027	56	806	89	76	771	114	141	1	2	2	1	0	0	1033	4.00091	0	0	-0.447906	0	0	-1.07312	538.378	38.3333	552.667	40.2	50.6667	771	47	
3	5	2	5	3	3	26	45	5	7	2	6	10	4	857	2	2	0	1	1	0	831	863	0	-1.55311	0	-0.190923	0	0	2.49964	3.33333	2	2	2.8	6.66667	2.66667	365.022	
3	3	5	26	2	5	3	47	48	35	114	1030	72	78	99	1	0	0	684	0	1	0	1032	0	0	-0.364194	2.91559	0	-0.615839	0	32	23.3333	52.1	466.698	72	34.4	66.3333	
3	26	5	2	3	5	3	47	10	1017	17	5	17	24	4	0	948	0	0	0	1	1	1019	0	3.52949	-0.504351	0	0	-0.722783	0	6.66667	501.726	7.6	5	11.3333	10.4	2.66667	
