K_1	K_2	K_3	K_4	K_5	K_6	K_7	tot_K	S_1	S_2	S_3	S_4	S_5	S_6	S_7	prS_1	prS_2	prS_3	prS_4	prS_5	prS_6	prS_7	tot_S	D_1	D_2	D_3	D_4	D_5	D_6	D_7	Pi_1	Pi_2	Pi_3	Pi_4	Pi_5	Pi_6	Pi_7	
3	2	3	3	26	5	5	47	140	781	188	250	1030	379	869	0	1	0	0	15	0	1	1041	0	0	0	0	2.23649	-0.454389	0.118812	94.6667	781	129	172	420.865	171.1	423.6	
26	2	5	3	5	3	3	47	1020	140	447	269	897	175	294	23	0	3	2	3	1	0	1037	2.45943	0	-0.329814	0	2.05237	0	0	431.683	140	205.3	185	546.1	120.333	204.333	
5	5	3	2	26	3	3	47	827	863	200	149	1032	260	255	2	0	0	0	46	1	0	1040	-0.159133	0.25589	0	0	2.5048	0	0	388.7	428.1	136	149	439.825	178.667	176	
3	3	3	5	5	26	2	47	201	255	174	376	865	999	788	0	1	0	0	2	20	2	1041	0	0	0	-0.515576	2.01329	1.91201	0	136.333	173.667	119.333	168.3	524.5	386.966	788	
26	5	5	3	3	3	2	47	1006	193	844	126	76	116	770	24	4	0	1	0	2	10	1038	1.88561	-0.768844	1.93648	0	0	0	0	387.935	83.3	507.7	85.3333	51.3333	77.6667	770	
26	5	2	5	3	3	3	47	783	845	16	649	14	12	11	126	44	0	1	0	0	0	980	1.48506	0.74102	0	-1.18594	0	0	0	281.443	444.9	16	263.2	9.33333	8	7.33333	
2	5	26	3	3	5	3	47	769	324	1004	162	175	867	819	1	0	21	0	0	0	1	1040	0	-0.663945	1.76885	0	0	-0.350273	0	769	142	379.483	109.667	118.667	397.1	569.667	
3	3	26	2	5	5	3	47	140	156	980	103	849	827	140	0	0	25	1	3	8	0	1039	0	0	2.31214	0	-0.46579	-0.392246	0	93.6667	105.333	405.311	103	382.7	376.6	93.3333	
5	5	3	3	2	3	26	47	172	996	120	60	60	116	947	1	56	0	0	0	0	18	1039	-0.882636	2.77453	0	0	0	0	1.54089	73	651.5	81	40.6667	60	79.3333	343.806	
2	5	3	3	26	5	3	47	97	256	799	98	979	842	89	1	2	10	0	28	6	0	1037	0	-0.824903	0	0	1.64928	2.08413	0	97	109.6	550.667	66	362.369	514.3	59.3333	
3	3	2	3	5	5	26	47	125	190	780	818	986	854	1027	0	0	0	0	0	0	8	1041	0	0	0	0	2.77679	1.97353	2.17655	85.3333	128.667	780	571.333	645.1	515.7	415.606	
3	2	3	5	5	3	26	47	167	783	116	831	852	84	1009	1	12	0	0	2	0	21	1035	0	0	0	-0.469351	2.03351	0	1.93644	113.667	783	78.3333	374.4	517.7	56.6667	392.452	
5	3	2	3	5	26	3	47	802	79	53	47	160	1014	93	3	3	1	0	4	153	1	1028	-0.863355	0	0	0	-0.724302	1.48113	0	341.5	53.3333	53	31.3333	69.5	364.142	63.3333	
3	26	3	3	5	2	5	47	796	1010	142	219	317	120	835	2	68	0	4	3	1	6	1039	0	2.86804	0	0	-0.243925	0	-0.200351	553.667	454.498	95.6667	148	147.3	120	390.3	
2	3	3	3	5	5	26	47	182	222	817	213	861	993	1030	0	0	0	0	0	3	6	1041	0	0	0	0	0.126207	2.00205	2.79232	182	152	573.667	143.667	420.1	601.4	458.378	
5	26	3	3	5	3	2	47	807	976	63	54	1018	959	73	0	8	0	0	6	1	1	1040	2.01848	0.789619	0	0	3.16919	0	0	489.6	306.274	42	36	691.1	770.333	73	
26	3	2	3	5	5	3	47	650	12	6	8	19	607	7	87	4	1	2	2	45	3	712	1.31384	0	0	0	-0.987175	-1.18761	0	226.375	8	6	5.33333	7.9	246.1	4.66667	
